date,token_symbol,factor_name,factor_value,lookback_window,factor_data_source,price_usd,cex_volume_usd,dex_volume_usd,dex_share,return_1d,future_return_1d,future_return_3d,future_return_7d
2026-03-30,AAVE,MOM_7D,-0.12993728928437367,7d,merged_volume_panel,96.86,28861403.873183154,517297.2851712193,0.017607901805560808,0.014984805616682362,0.013834400165186889,-0.025913689861656097,-0.03985133181912037
2026-03-30,AAVE,MOM_7D_SKIP_1D,-0.10806041997582734,7d_skip_1d,merged_volume_panel,96.86,28861403.873183154,517297.2851712193,0.017607901805560808,0.014984805616682362,0.013834400165186889,-0.025913689861656097,-0.03985133181912037
2026-03-30,AAVE,VOL_DIVERGENCE,2.301287541092682,7d_growth_30d_z,merged_volume_panel,96.86,28861403.873183154,517297.2851712193,0.017607901805560808,0.014984805616682362,0.013834400165186889,-0.025913689861656097,-0.03985133181912037
2026-03-30,ARB,CEX_VOLUME_CONFIRMED_MOM,0.05056159965484878,7d_price_30d_volume,merged_volume_panel,0.0911,10838258.616920603,5005951.316916737,0.3159483077932391,0.030542986425339258,0.019758507135016368,-0.002195389681668547,0.028540065861690556
2026-03-30,ARB,CEX_VOL_GROWTH_7D,-0.286317303181744,7d_vs_prev_7d,merged_volume_panel,0.0911,10838258.616920603,5005951.316916737,0.3159483077932391,0.030542986425339258,0.019758507135016368,-0.002195389681668547,0.028540065861690556
2026-03-30,ARB,CEX_VOL_Z_30D,-0.7447075203689307,30d,merged_volume_panel,0.0911,10838258.616920603,5005951.316916737,0.3159483077932391,0.030542986425339258,0.019758507135016368,-0.002195389681668547,0.028540065861690556
2026-03-30,ARB,DEX_SHARE,0.3159483077932391,1d,merged_volume_panel,0.0911,10838258.616920603,5005951.316916737,0.3159483077932391,0.030542986425339258,0.019758507135016368,-0.002195389681668547,0.028540065861690556
2026-03-30,ARB,DEX_VOL_GROWTH_7D,0.052074788875601616,7d_vs_prev_7d,merged_volume_panel,0.0911,10838258.616920603,5005951.316916737,0.3159483077932391,0.030542986425339258,0.019758507135016368,-0.002195389681668547,0.028540065861690556
2026-03-30,ARB,DEX_VOL_Z_30D,-0.1142944421747507,30d,merged_volume_panel,0.0911,10838258.616920603,5005951.316916737,0.3159483077932391,0.030542986425339258,0.019758507135016368,-0.002195389681668547,0.028540065861690556
2026-03-30,ARB,MOM_14D,-0.19215232957708223,14d,merged_volume_panel,0.0911,10838258.616920603,5005951.316916737,0.3159483077932391,0.030542986425339258,0.019758507135016368,-0.002195389681668547,0.028540065861690556
